name;type;country;lat;lng;cityDesc
STYCKE;ikea;;;;
SUNDSVALL;city;SE;62.3955;17.286;Sundsvall est une ville située dans le centre de la Suède, sur la côte de la mer Baltique, dans la province de Medelpad et le comté de Västernorrland.
SUNNAN;ikea;;;;
SVAJS;ikea;;;;
SVINGA;ikea;;;;
SYLLING;both;NO;59.8942;10.2868;
SÄTER;both;SE;60.3431;15.7588;Säter est une ville de Suède, chef-lieu de la commune de Säter dans le comté de Dalarna.
SÄVERN;ikea;;;;
SÖDERMALM;city;SE;59.3136;18.0711;Södermalm est une île et un quartier de Stockholm en Suède.
SÖDERTÄLJE;city;SE;59.1944;17.599;Södertälje est une ville de Suède, chef-lieu de la commune de Södertälje dans le comté de Stockholm.
TAFJORD;both;NO;62.2311;7.4153;Le Tafjord est un fjord norvégien, branche terminale du Norddalsfjord, dans le comté de Møre et Romsdal.
TAG;ikea;;;;
TAMPERE;city;FI;61.4981;23.76;Tampere est une ville de Pirkanmaa, dans le Sud-Ouest de la Finlande.
TASSA;ikea;;;;
TERMOSFÄR;ikea;;;;
THISTED;both;DK;56.9539;8.6903;Thisted est une commune du Danemark, dans la région du Jutland du Nord , c’est également le nom de son chef-lieu et ville principale.
TILLAGA;ikea;;;;
TJÖME;ikea;;;;
TOBO;both;SE;60.2601;17.6539;Tobo est une localité de Suède dans la commune de Tierp située dans le comté d'Uppsala.
TOLG;both;SE;57.0914;14.7913;
TOLGA;both;NO;62.4098;10.9963;Tolga est un nom de lieu notamment porté par :Tolga, une commune algérienne de la wilaya de Biskra , Tolga, un village du Queensland, en Australie , Tolga, une kommune de Norvège.
TORBJÖRN;ikea;;;;
TORSBY;both;SE;60.1368;13.0072;Torsby est une localité de Suède dans la commune de Torsby, dont elle est le chef-lieu, située dans le comté de Värmland.
TRAMPA;ikea;;;;
TRANDAL;both;NO;62.262;6.5019;
TRENSUM;both;SE;56.1908;14.9519;
TRIVSAM;ikea;;;;
TROLLFJORDEN;ikea;;;;
TROLLHÄTTAN;city;SE;58.2828;12.2892;Trollhättan est une ville de Suède, située sur le cours du fleuve Göta älv, au niveau des chutes de Trollhättan, à moins de 100 km de Göteborg, deuxième plus grande ville du pays.
TROLLSTA;both;SE;59.0431;17.8928;
TRONDHEIM;both;NO;63.44;10.4;Trondheim /ˈtrɔ̂nː(h)æɪm/, autrefois Nidaros, est une ville et une commune norvégienne située dans le comté de Trøndelag.
TRONES;both;NO;63.8175;11.4269;Trones est une localité du comté de Nordland, en Norvège.
TROSS;ikea;;;;
TULLERÖ;ikea;;;;
TURKU;city;FI;60.4517;22.2669;Turku, dans le passé Aboen en français, est une ville de Finlande de 206 073 habitants située dans le Sud-Ouest du pays à l’embouchure du fleuve côtier Aura.
TVEIT;both;NO;59.518;5.355;Tveit et une localité norvégienne et un quartier de la commune de Kristiansand dans le comté d'Agder.
TVILLING;ikea;;;;
TYLÖSAND;both;SE;56.65;12.7333;Tylösand est une localité du sud de la Suède, dans la commune de Halmstad.
TÅRNBY;both;DK;55.6278;12.6025;Tårnby est une municipalité limitrophe au sud de Copenhague, dans la région de Hovedstaden, à l'est de l'île de Sjælland, au Danemark.
TÅRSTA;ikea;;;;
TÄBY;city;SE;59.4333;18.0833;Täby est une localité de Suède peuplée de 72 000 habitants.
ULDUM;both;DK;55.8461;9.5897;
ULSBERG;both;NO;62.7511;9.9844;
UMEÅ;city;SE;63.8285;20.2706;Umeå est une ville située dans le Nord de la Suède, sur la côte du golfe de Botnie dans la province historique de Västerbotten, à 600 kilomètres au nord de Stockholm.
UNITÉ URBAINE DE STOCKHOLM;city;SE;59.3101;18.0463;L’unité urbaine de Stockholm est une unité statistique comprenant l'essentiel de la commune de Stockholm et une partie de dix autres communes du comté de Stockholm.
UNNI;ikea;;;;
UPPSALA;city;SE;59.8498;17.6389;Uppsala, ou Upsal en français, est une ville de Suède située à 60 km au nord de Stockholm, en Uppland, célèbre pour son université, la plus ancienne de Scandinavie.
USTA;ikea;;;;
UTBY;both;SE;58.3331;11.7852;Utby est une localité de Suède située dans la commune d'Uddevalla du comté de Västra Götaland.
VAASA;city;FI;63.0958;21.6153;Vaasa est une ville de l'ouest de la Finlande, située à 420 km de la capitale Helsinki, sur la côte du golfe de Botnie, dans la province de Finlande occidentale.
VAKEN;ikea;;;;
VALBY;both;DK;56.0567;12.2056;Valby est un des dix quartiers officiels de Copenhague au Danemark.
VANTAA;city;FI;60.2944;25.0403;Vantaa est l'une des villes constituant l'agglomération d'Helsinki en Finlande, formant avec Espoo et Kauniainen, le Grand Helsinki.
VASEN;ikea;;;;
VEJLE;city;DK;55.7083;9.5333;Vejle est une ville du Danemark située dans le sud de la péninsule du Jutland , elle est le chef-lieu de la commune homonyme et de la région du Danemark-du-Sud, et compte 52 573 habitants.
VEJMON;both;SE;63.2787;14.296;
VESSLA;ikea;;;;
VIKARE;ikea;;;;
VILSHULT;both;SE;56.354;14.4825;Vilshult est une localité de Suède située dans la commune d'Olofström du comté de Blekinge.
VINDE;ikea;;;;
VINSTRA;both;NO;61.6;9.75;
VIREN;ikea;;;;
VIRUM;city;DK;55.7917;12.4597;Virum est une localité située dans la municipalité de Lyngby-Taarbæk, dans la région de Hovedstaden au Danemark, à environ 15 km au nord de Copenhague.
VITAMIN;ikea;;;;
VITSKÄR;both;SE;63.6612;20.3069;
VRETA;ikea;;;;
VRETEN;both;SE;58.2728;13.9133;Solna strand, est une station de la Ligne T10 du métro de Stockholm.
VÅRLJUNG;ikea;;;;
VÄNLIG;ikea;;;;
VÄSTERÅS;city;SE;59.6173;16.5422;Västerås est une ville suédoise située sur le lac Mälar, dans une zone appelée Mälardalen qui regroupe plusieurs importantes villes suédoises, dont la capitale, Stockholm.
VÄV;ikea;;;;
VÄXJÖ;city;SE;56.889;14.8028;Växjö est une ville suédoise de la province méridionale du Småland.
YNGSJÖ;both;SE;55.8811;14.2424;Yngsjö est un village de la commune de Kristianstad dans le Comté de Scanie en Suède.
YSBY;both;SE;56.4923;13.1175;Ysby est une localité de Suède située dans la commune de Laholm du comté de Halland.
ZONE URBAINE DE LAPPEENRANTA;city;FI;61.0588;28.1877;La conurbation de Lappeenranta est une zone urbaine située à Lappeenranta et Taipalsaari en Carélie du Sud.
ÅDAL;both;DK;55.816;9.4603;Ådal est une vallée de la commune de Ringerike dans le comté de Buskerud.
ÅNES;ikea;;;;
ÅNN;both;SE;63.3233;12.5361;
ÅSARP;both;SE;58.024;13.5651;Åsarp est une localité de Suède située dans la commune de Falköping du comté de Västra Götaland.
ÅSELE;both;SE;64.1598;17.357;Åsele est une localité de Suède, chef-lieu de la commune d'Åsele, dans le comté de Västerbotten, au sud-est de la Laponie suédoise.
ÄLMHULT;both;SE;56.5515;14.1351;Älmhult est une localité du Småland.
ÄNGA;ikea;;;;
ÄTRAN;both;SE;57.1227;12.9465;Ätran est un village suédois situé dans la commune de Falkenberg, comté de Halland.
ÖNSKA;ikea;;;;
ÖREBRO;city;SE;59.2669;15.1965;Örebro est une ville suédoise située sur le lac Hjälmaren.
ÖSTERBYMO;both;SE;57.8255;15.2784;Österbymo est une localité de Suède dans la commune d'Ydre, dont elle est le chef-lieu, située dans le comté d'Östergötland.
ÖSTERSUND;city;SE;63.1792;14.636;Östersund est une ville de Suède, chef-lieu de la commune d'Östersund dans le comté de Jämtland.
